id,user_id,opportunity_id,created_at,status,total_hours
39e3585d-7575-4cee-9235-6373e4ba1b28,09ff8bd0-83f4-431d-8025-ba49d5ce9f5d,ba265911-b590-4aee-8c21-1402948c811f,"2025-12-20 14:57:31.120845+00",,2.5
64d79dde-5d5a-4372-b770-3fb5bcfbdb0b,cf878c5d-6d3c-4feb-b421-b7e7371f4d48,50623e69-1c34-4e81-bbc5-aede1cc6f62a,"2025-12-03 23:29:55.933488+00",,1.5
973888bd-160a-48f2-a7ec-d2a8a313190f,ecc4c04d-9ba9-448c-8b4b-0d638354885b,13b00d3e-04ca-4f3e-8b84-955d3cab14ec,"2025-11-26 14:18:59.75254+00",,2
7be1e5e0-745b-4d6e-9b34-c196f2a24c22,31c76a52-fd0a-48f2-a1f3-d06b09b412fa,eea1ff4e-41ca-43c6-9e24-1631a1178845,"2025-12-03 23:34:32.537626+00",,2.5
43c34bf1-04b9-49c4-92b4-af6d236eb41c,ad70bfbc-6bf0-4ad8-ac34-9cf06220ffad,13b00d3e-04ca-4f3e-8b84-955d3cab14ec,"2025-11-21 03:57:17.305615+00",,2
7db96ecd-6a47-4a44-85f1-9df725248712,b5161779-1690-4c41-95e8-8461c8390faf,e005aa06-06c1-4256-be76-6ed6ce542175,"2025-11-22 23:51:26.84436+00",,4
eafe6a0e-6715-4700-819e-4de96b26c6f9,5e180f5d-9639-42f2-b0c3-5468f2e1da1a,e005aa06-06c1-4256-be76-6ed6ce542175,"2025-12-04 16:01:45.953255+00",,2.75
bae38e0e-ea58-431f-a236-71fe794206fb,5e180f5d-9639-42f2-b0c3-5468f2e1da1a,256afc9a-04f8-4ccc-bfe6-3ba0f8e4ac6d,"2025-11-21 04:26:23.473066+00",,3
8b906a20-920c-48ae-b406-7c5b62413018,11a18deb-f6c3-44cc-8b4a-eaf5dc5cdeb8,e005aa06-06c1-4256-be76-6ed6ce542175,"2025-12-04 22:23:45.568241+00",,2.75
dcc1f542-459a-42f4-87e3-50cf1d00dcb0,a645db1d-11a9-4162-a627-0c53ebb9bf80,e005aa06-06c1-4256-be76-6ed6ce542175,"2025-12-04 20:56:48.351927+00",,2.25
3450c11a-6402-4e00-b008-755462816c66,09ff8bd0-83f4-431d-8025-ba49d5ce9f5d,e005aa06-06c1-4256-be76-6ed6ce542175,"2025-12-05 16:12:16.262405+00",,2
6b8807b0-e723-409f-9fb3-ea7795e252d3,6e0be732-0ee3-4bb6-a965-9c98242d97e5,e005aa06-06c1-4256-be76-6ed6ce542175,"2025-12-06 04:31:30.116589+00",,2.25
80c5e20b-eeaf-4d3b-bd3b-bf447d21f724,225dbd75-0339-4347-96ab-455ea34d3c76,eea1ff4e-41ca-43c6-9e24-1631a1178845,"2025-11-21 18:30:07.812931+00",,2
8ea814ab-9cf8-4b36-aa4c-811c3e6c437d,3f72d4c9-7ffd-4678-9a10-1ecab275ae55,e005aa06-06c1-4256-be76-6ed6ce542175,"2025-12-04 22:49:34.400475+00",,2
074fffbd-01f7-4d74-8bc4-1bef0bdf76f6,a8a18bc5-432a-481c-827f-93855145a279,e005aa06-06c1-4256-be76-6ed6ce542175,"2025-12-05 20:45:26.510403+00",,2.25
f94ad707-059b-4705-9eaa-afe603631582,f7d73f82-6eb0-448e-b9d8-b871db4bca8e,e005aa06-06c1-4256-be76-6ed6ce542175,"2025-12-06 01:38:38.06024+00",,2.25
1eee5779-f217-4bcb-a0fe-f27a15141acd,b5161779-1690-4c41-95e8-8461c8390faf,f6d38268-772b-42bf-8f92-312fab84f409,"2025-11-30 14:13:00.423382+00",,2
0dd5e003-341f-4ca4-a810-998f71575f19,18193cee-737f-41f9-8683-1a7db95345bf,e005aa06-06c1-4256-be76-6ed6ce542175,"2025-12-05 15:21:35.532165+00",,2.25
948cd34d-12f3-4a75-bbf3-de0562a28ebc,34be494c-ac31-4351-953f-4d45d2abe117,e005aa06-06c1-4256-be76-6ed6ce542175,"2025-12-06 02:41:59.204006+00",,2
6d26617b-2f19-4b32-8c1a-3c147e7b2672,123f4f0d-f9e9-4bcd-81b9-d45121ee60cd,e005aa06-06c1-4256-be76-6ed6ce542175,"2025-12-06 15:10:12.551946+00",,1.75
0d73e4d3-daa0-48d6-b823-ca66b0f25b44,27acb628-a721-4bf5-8a75-e5ee22824a4f,e005aa06-06c1-4256-be76-6ed6ce542175,"2025-12-04 04:26:47.46215+00",,2.25
aa16d258-7109-48af-a842-4bed86fbd412,a645db1d-11a9-4162-a627-0c53ebb9bf80,9051f645-1fe1-4ab6-a93c-2ec831a3b9ae,"2025-12-09 22:45:29.426945+00",,2.5
